iter	RMSE
943	3001982.368
944	3000768.878
945	3000070.162
946	2998936.752
947	2996891.289
948	2996644.683
949	2995797.788
950	2994431.527
951	2993667.503
952	2988934.292
953	2986747.404
954	2983546.011
955	2980911.618
956	2978022.124
957	2975170.75
958	2974447.731
959	2973296.906
960	2972306.226
961	2972083.555
962	2970432.766
963	2967903.611
964	2966922.802
965	2965039.814
966	2962809.248
967	2961130.324
968	2958172.415
969	2957554.12
970	2956757.55
971	2954957.745
972	2951418.912
973	2950132.703
974	2948540.641
975	2947108.626
976	2945301.291
977	2943073.202
978	2942547.49
979	2940898.346
980	2938496.76
981	2936724.358
982	2935908.451
983	2933303.535
984	2931539.058
985	2930232.493
986	2926545.962
987	2924874.498
988	2923067.175
989	2921561.077
990	2919651.575
991	2918396.128
992	2917156.669
993	2916468.465
994	2915095.596
995	2914374.49
996	2912643.441
997	2911669.348
998	2909540.383
999	2908008.337
